ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096230	Gm16429	NE	NE	NE	NE	NE	NE
ENSMUSG00000096231	Gm22584	NE	NE	NE	NE	NE	NE
ENSMUSG00000096232	0610012G03Rik	HE	HE	HE	HE	HE	HE
ENSMUSG00000096233	Gm13238	UND	UND	UND	LE	UND	UND
ENSMUSG00000096234	Gm20800	NE	NE	NE	NE	NE	NE
ENSMUSG00000096235	Gm5123	NE	NE	NE	NE	NE	NE
ENSMUSG00000096236	GM3147	NE	NE	NE	NE	NE	NE
ENSMUSG00000096237	CT868723.1	NE	NE	NE	NE	NE	NE
ENSMUSG00000096238	Gm22583	NE	LE	NE	NE	UND	NE
ENSMUSG00000096239	Mir466b-4	NE	NE	NE	NE	NE	NE
ENSMUSG00000096240	Gm21830	NE	NE	NE	NE	NE	NE
ENSMUSG00000096241	Gm24267	NE	LE	NE	NE	NE	NE
ENSMUSG00000096242	Gm24266	NE	NE	NE	NE	NE	NE
ENSMUSG00000096243	Gm24265	UND	HE	HE	UND	UND	UND
ENSMUSG00000096244	VMN1R63	NE	NE	NE	NE	NE	NE
ENSMUSG00000096245	Gm24269	NE	NE	NE	NE	LE	NE
ENSMUSG00000096246	Gm20895	NE	NE	NE	NE	NE	NE
ENSMUSG00000096247	Gm24268	NE	NE	NE	NE	LE	NE
ENSMUSG00000096248	Gm24264	NE	NE	NE	NE	NE	NE
ENSMUSG00000096249	Gm24263	NE	NE	NE	NE	NE	NE
ENSMUSG00000096250	Ighd2-6	NE	NE	NE	NE	NE	NE
ENSMUSG00000096251	Gm21895	NE	NE	NE	NE	NE	NE
ENSMUSG00000096252	Tes3-ps	HE	UND	UND	UND	HE	UND
ENSMUSG00000096253	Gm21896	NE	NE	NE	NE	NE	NE
ENSMUSG00000096254	Olfr724	NE	NE	NE	NE	LE	NE
ENSMUSG00000096255	Dynlt1b	NE	UND	LE	HE	UND	HE
ENSMUSG00000096256	Gm21093	NE	LE	NE	NE	NE	NE
ENSMUSG00000096257	Gm6537	NE	UND	UND	LE	UND	LE
ENSMUSG00000096258	Rps16-ps3	NE	UND	NE	UND	UND	UND
ENSMUSG00000096259	Gm3106	NE	NE	NE	NE	NE	NE
ENSMUSG00000096260	Gm10592	NE	NE	NE	NE	NE	NE
ENSMUSG00000096261	Gm20847	NE	NE	NE	NE	NE	NE
ENSMUSG00000096262	Ap1g1	HE	HE	HE	HE	HE	HE
ENSMUSG00000096263	Snord14c	NE	NE	NE	NE	NE	NE
